video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes,frame_new
30660,468,polyps undeterminable,VME coral species polyp behaviour > polyps undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[644.33,425.87]]",[410.376169],30669,2025-02-17T15:15:00Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",410.376169
30661,564,S-undeterminable,Health indicators Scleractinians > S-undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[576.7,453.99]]",[410.376169],30670,2025-02-17T15:15:08Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",410.376169
30662,474,Desmophyllum pertusum,VME stony corals > Desmophyllum pertusum,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[144.11,383.01]]",[410.376169],30671,2025-02-17T15:16:40Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",410.376169
30663,469,mucus undeterminable,VME species mucus production > mucus undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[129.38,401.09]]",[410.376169],30672,2025-02-17T15:16:44Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",410.376169
30664,468,polyps undeterminable,VME coral species polyp behaviour > polyps undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[134.06,434.57]]",[410.376169],30673,2025-02-17T15:16:48Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",410.376169
30665,564,S-undeterminable,Health indicators Scleractinians > S-undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[92.54,421.85]]",[410.376169],30674,2025-02-17T15:16:55Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",410.376169
30670,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[770.22,186.13]]",[412.921906],30679,2025-02-17T15:21:49Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",412.921906
30649,474,Desmophyllum pertusum,VME stony corals > Desmophyllum pertusum,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1058.17,507.56]]",[413.295356],30658,2025-02-17T15:03:04Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",413.295356
30650,469,mucus undeterminable,VME species mucus production > mucus undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1059.51,531]]",[413.295356],30659,2025-02-17T15:03:07Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",413.295356
30651,468,polyps undeterminable,VME coral species polyp behaviour > polyps undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1082.95,500.2]]",[413.295356],30660,2025-02-17T15:03:11Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",413.295356
30652,564,S-undeterminable,Health indicators Scleractinians > S-undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1086.96,522.96]]",[413.295356],30661,2025-02-17T15:03:15Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",413.295356
30653,581,Bivalvia stet.,Corals associated fauna > Bivalvia stet.,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1034.73,551.09]]",[413.295356],30662,2025-02-17T15:03:28Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",413.295356
30654,445,Bivalvia stet.,Fauna > Bivalvia stet.,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[843.88,409.12]]",[413.295356],30663,2025-02-17T15:03:33Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",413.295356
30655,569,Actiniaria free stet.,VME anemones > Actiniaria free stet.,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1323.35,366.94]]",[414.43357],30664,2025-02-17T15:05:22Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",414.43357
30643,362,near-vertical,Slope category > near-vertical,1,Birte,Schuppe,55,anevik_1_11.mp4,7,WholeFrame,[],[420.780586],30652,2025-02-17T15:00:29Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",420.780586
30644,307,Exposed bedrock,Substrate > Exposed bedrock,1,Birte,Schuppe,55,anevik_1_11.mp4,7,WholeFrame,[],[420.780586],30653,2025-02-17T15:00:33Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",420.780586
30645,470,Dead D.pertusum framework,Substrate > Dead D.pertusum framework,1,Birte,Schuppe,55,anevik_1_11.mp4,7,WholeFrame,[],[420.780586],30654,2025-02-17T15:00:37Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",420.780586
30646,471,Living D.pertusum framework,Substrate > Living D.pertusum framework,1,Birte,Schuppe,55,anevik_1_11.mp4,7,WholeFrame,[],[420.780586],30655,2025-02-17T15:00:43Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",420.780586
30647,322,Laser points,Laser points,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[813.75,872.52]]",[420.780586],30656,2025-02-17T15:00:48Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",420.780586
30648,322,Laser points,Laser points,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[821.12,852.43]]",[420.780586],30657,2025-02-17T15:00:50Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",420.780586
30639,474,Desmophyllum pertusum,VME stony corals > Desmophyllum pertusum,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1720.45,647.52]]",[423.068458],30648,2025-02-17T14:57:29Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",423.068458
30640,469,mucus undeterminable,VME species mucus production > mucus undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1714.42,672.96]]",[423.068458],30649,2025-02-17T14:57:31Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",423.068458
30641,468,polyps undeterminable,VME coral species polyp behaviour > polyps undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1690.98,654.21]]",[423.068458],30650,2025-02-17T14:57:36Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",423.068458
30642,564,S-undeterminable,Health indicators Scleractinians > S-undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1681.61,682.34]]",[423.068458],30651,2025-02-17T14:57:42Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",423.068458
30682,445,Bivalvia stet.,Fauna > Bivalvia stet.,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[921.56,426.54]]",[428.926359],30691,2025-02-17T15:32:04Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",428.926359
30683,581,Bivalvia stet.,Corals associated fauna > Bivalvia stet.,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[920.89,401.09]]",[428.926359],30692,2025-02-17T15:32:10Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",428.926359
30666,322,Laser points,Laser points,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[813.08,884.57]]",[430.467932],30675,2025-02-17T15:17:59Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",430.467932
30667,322,Laser points,Laser points,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[823.12,859.79]]",[430.467932],30676,2025-02-17T15:18:00Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",430.467932
30668,322,Laser points,Laser points,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[820.45,891.27]]",[440.626383],30677,2025-02-17T15:18:49Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",440.626383
30669,322,Laser points,Laser points,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[827.81,867.83]]",[440.626383],30678,2025-02-17T15:18:50Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",440.626383
