X,Y,laser_frames,width,height,datetime,videotime,lon,lat,depth,elapsed_seconds,LON2,LAT2,depth_interpolated,videotime_interpolated,distance_3d,distance_travelled,bin
513168.5877363837,7541811.160234036,NA,3.005796142899262,1.690760330380835,2021-01-08T09:11:57Z,00:23:35,15.3148705,67.99025317,622.1,1412,15.3148705,67.99025317,622.1,1412,0.10000876689638376,504.1285088420358,"(500,600]"
513168.1108133401,7541811.064707764,NA,2.987616082398081,1.6805340463489205,2021-01-08T09:11:58Z,NA,NA,NA,NA,NA,15.314859085,67.99025233500001,622.25,1413,0.5089998605793549,504.6375087026151,"(500,600]"
513167.6338902618,7541810.969181577,NA,2.9694360218968994,1.670307762317006,2021-01-08T09:11:59Z,00:23:37,15.31484767,67.9902515,622.4,1414,15.31484767,67.9902515,622.4,1414,0.5089998773541865,505.14650857996935,"(500,600]"
513167.1883147665,7541810.836465145,NA,2.951255961395718,1.6600814782850914,2021-01-08T09:12:00Z,00:23:38,15.314837,67.99025033,622.2,1415,15.314837,67.99025033,622.2,1415,0.5061137946667188,505.65262237463605,"(500,600]"
513167.1883147665,7541810.836465145,NA,2.9330759008945364,1.6498551942531767,2021-01-08T09:12:01Z,NA,NA,NA,NA,NA,15.314837,67.99025033,622.1500000000001,1416,0.04999999999995452,505.702622374636,"(500,600]"
513167.1883147665,7541810.836465145,NA,2.914895840393355,1.6396289102212622,2021-01-08T09:12:02Z,00:23:38,15.314837,67.99025033,622.1,1417,15.314837,67.99025033,622.1,1417,0.05000000000006821,505.7526223746361,"(500,600]"
513166.9807237465,7541811.235108727,NA,2.896715779892174,1.6294026261893475,2021-01-08T09:12:03Z,NA,NA,NA,NA,NA,15.314832085,67.990253915,622.1500000000001,1418,0.4522286328893081,506.2048510075254,"(500,600]"
513166.7731327899,7541811.633752325,NA,2.8785357193909924,1.6191763421574332,2021-01-08T09:12:04Z,00:23:42,15.31482717,67.9902575,622.2,1419,15.31482717,67.9902575,622.2,1419,0.4522286185957734,506.6570796261212,"(500,600]"
513166.4137298019,7541811.935553071,[1420.909517],2.860355658889811,1.6089500581255187,2021-01-08T09:12:05Z,NA,NA,NA,NA,NA,15.314818613333331,67.99026022333334,622.2,1420,0.4693124741002694,507.12639210022144,"(500,600]"
513166.05432689784,7541812.237353866,NA,2.8503820971517704,1.603339929647871,2021-01-08T09:12:06Z,NA,NA,NA,NA,NA,15.314810056666666,67.99026294666666,622.2,1421,0.4693124409649766,507.5957045411864,"(500,600]"
513165.69492407766,7541812.539154714,NA,2.84040853541373,1.597729801170223,2021-01-08T09:12:07Z,00:23:44,15.3148015,67.99026567,622.2,1422,15.3148015,67.99026567,622.2,1422,0.4693124108688066,508.0650169520552,"(500,600]"
513165.3858084648,7541812.342467975,NA,2.8304349736756893,1.5921196726925753,2021-01-08T09:12:08Z,NA,NA,NA,NA,NA,15.314794085,67.99026391999999,622.25,1423,0.36978119944688953,508.4347981515021,"(500,600]"
513165.0766928047,7541812.145781273,NA,2.8204614119376488,1.5865095442149273,2021-01-08T09:12:09Z,00:23:46,15.31478667,67.99026217,622.3,1424,15.31478667,67.99026217,622.3,1424,0.3697812190938832,508.804579370596,"(500,600]"
